world_id,object_a,object_b,heuristic_label,gazebo_contact
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
